Entity,Code,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%)
Lesotho,LSO,0.15694778571428572,0.6030139285714285,0.12050475000000001,3.4621482142857145,0.7359740357142857,5.423810928571428,1.6459989285714285
Liberia,LBR,0.15927739285714287,0.6284951428571429,0.08465478571428572,2.8676978214285715,0.49462103571428573,3.6520353214285715,0.9392084642857144
Libya,LBY,0.19766814285714288,0.8026416071428571,0.23468899999999998,4.94664375,2.1977825,3.7632192142857144,0.6856941428571428
Lithuania,LTU,0.19508310714285715,0.6950132499999999,0.19763110714285714,2.9189304642857143,0.5717146785714285,4.281545678571429,4.7042828214285715
Luxembourg,LUX,0.2620248214285714,0.9371427857142857,0.6861691785714286,5.325721857142858,0.983499,3.801341214285714,1.40810825
Macedonia,MKD,0.19967989285714285,0.70781025,0.16556975,3.3838824642857146,0.47401035714285716,2.377594785714286,1.785246892857143
Madagascar,MDG,0.1634927142857143,0.6299875357142858,0.10359217857142856,3.5484825714285715,0.4909689285714286,3.7249445357142856,1.5103393928571427
Malawi,MWI,0.1523402857142857,0.6007159642857143,0.0946815,3.5907802142857146,0.49898335714285713,3.429179142857143,1.597637357142857
Malaysia,MYS,0.2422977857142857,0.5709750714285714,0.1740345357142857,4.3805691428571425,0.6425505714285714,3.328805357142857,0.6767936428571428
Maldives,MDV,0.23157010714285714,0.5569178928571429,0.13953260714285715,3.210292892857143,0.6277128214285714,3.320688142857143,0.7616375714285715
Mali,MLI,0.16514114285714285,0.6258593571428571,0.10709592857142858,2.8783305,0.42668625,2.9797031428571428,0.8900783928571429
Malta,MLT,0.25553125,0.9652474642857143,0.45848114285714286,5.3244,0.8010223928571428,3.3859701785714287,1.0701934642857143
Marshall Islands,MHL,0.21631525000000001,0.42764764285714285,0.10690471428571428,3.2222255714285715,0.7585648928571428,3.12032825,1.1994553214285715
Mauritania,MRT,0.17661600000000002,0.6584021785714286,0.13297753571428572,2.917307857142857,0.48247082142857145,3.0715066428571425,0.9155226071428572
Mauritius,MUS,0.23387139285714284,0.56049625,0.15862592857142857,3.298407607142857,0.6804556785714285,3.607825357142857,1.2694394285714288
Mexico,MEX,0.20894300000000002,0.8115688928571428,0.30270125000000003,3.0920072142857142,0.7881723214285714,2.7475045000000002,1.7080632500000001
Micronesia (country),FSM,0.21780742857142857,0.43552896428571425,0.10588242857142857,3.239442607142857,0.7621860714285714,3.1553978214285716,1.1508376785714287
Moldova,MDA,0.18148282142857144,0.6767928214285714,0.13297785714285715,2.8770731785714285,0.6161503928571428,3.5464184285714286,3.8326315714285712
Mongolia,MNG,0.18373285714285714,0.648277,0.14656339285714284,2.5260995714285714,0.4955933571428571,3.5103033928571428,2.8541524642857143
Montenegro,MNE,0.20027239285714285,0.7100155,0.17411375,3.4193523928571428,0.6319984285714285,2.576603714285714,1.7849344642857141
Morocco,MAR,0.1831493214285714,0.7757931785714286,0.15453639285714285,4.9615307500000005,1.46671075,5.6102976785714285,0.5634680357142857
Mozambique,MOZ,0.15092396428571428,0.6061878928571429,0.08696928571428572,3.614474142857143,0.50496475,3.8394110714285716,1.6441868928571428
Myanmar,MMR,0.1993032857142857,0.5041331428571428,0.09200360714285714,3.2598505714285717,0.5646456785714286,2.2521131785714283,0.8542957857142858
Namibia,NAM,0.1729860357142857,0.6269067142857143,0.17750960714285716,3.4774085714285716,0.7535422142857142,3.451969035714286,1.7013440357142857
Nepal,NPL,0.24523064285714286,0.5780820357142857,0.11012392857142858,3.7968215,0.4926524285714286,3.6411112500000002,1.4230138928571427
Netherlands,NLD,0.37232982142857146,0.9460585357142858,0.4056353928571429,6.816900857142857,0.9882128214285714,4.0864455,0.7653371785714286
New Zealand,NZL,0.34011325,1.1990135714285715,0.6432345714285714,8.651308964285715,2.116917107142857,4.086397035714286,1.6908731785714284
Nicaragua,NIC,0.19596135714285715,0.7902816071428571,0.18759807142857143,2.8812521785714287,0.5932212142857143,2.8530963928571427,2.048926642857143
Niger,NER,0.1625070357142857,0.629625,0.091728,2.8825741071428572,0.43992349999999997,3.432556714285714,0.9072680357142857
Nigeria,NGA,0.1760203214285714,0.638836892857143,0.1344495,2.867923464285714,0.446514,4.047074464285714,0.9300400357142857
North Korea,PRK,0.23805589285714285,0.3252941785714286,0.09848085714285715,3.270112357142857,0.8727978214285714,3.1708286071428575,1.303362142857143
Northern Mariana Islands,MNP,0.2614130357142857,0.48806914285714287,0.2267397142857143,3.3003860714285715,0.7626734285714285,3.044708071428571,1.4855780357142856
Norway,NOR,0.21145967857142858,0.8774196785714287,0.5562824642857143,7.637363428571428,0.9259731785714286,3.748898392857143,1.5661294285714287
Oman,OMN,0.19929860714285713,0.78369625,0.24361039285714287,4.6084625,1.462542357142857,3.440914285714286,0.6643447499999999
Pakistan,PAK,0.2556893571428572,0.5690442857142857,0.13759875,3.7717463214285716,0.6602306071428572,3.4279229285714288,1.4522633214285714
Palestine,PSE,0.18655539285714284,0.8202610357142858,0.13224032142857142,4.966701357142857,1.4197852857142856,4.818329678571429,0.6344876071428571
Panama,PAN,0.2075440357142857,0.8044303928571429,0.2637862142857143,2.8615230714285715,0.7036245714285715,2.6643292857142855,1.3532089999999999
Papua New Guinea,PNG,0.20581417857142856,0.40988874999999997,0.09700635714285714,3.177838107142857,0.7151041071428572,3.1828363214285713,1.1925823214285713
Paraguay,PRY,0.19930374999999997,1.0697516071428572,0.21553732142857143,5.987024321428572,0.5180933571428572,2.873104535714286,2.2509424285714283
Peru,PER,0.19905025,0.8854025714285714,0.3297645357142857,4.240843821428571,0.5762740714285715,2.3175002142857144,1.5427120714285714
Philippines,PHL,0.2165883214285714,0.5298338214285715,0.11821142857142856,3.2332177857142854,0.6431571785714285,2.7829701428571427,0.9439825714285714
Poland,POL,0.20195914285714284,0.7060915357142857,0.19415467857142857,3.4422914285714286,0.7971567142857143,2.284375035714286,1.9523869642857143
Portugal,PRT,0.24824635714285717,0.9241975714285714,0.4715592857142857,5.357599964285714,0.6898384999999999,4.699081464285714,1.253774142857143
Puerto Rico,PRI,0.21142853571428571,0.9406010714285714,0.39581214285714283,4.697296285714286,1.1627076428571428,2.7702620714285713,1.89838325
Qatar,QAT,0.21250267857142857,0.82269475,0.3032828928571428,4.435598071428571,1.9210151785714287,3.617786964285714,0.7246501428571428
Romania,ROU,0.196264,0.74762675,0.17092960714285715,3.221794178571429,0.44963225,2.351679321428571,1.8474982857142856
Russia,RUS,0.19192857142857142,0.6720708214285713,0.2086969642857143,2.9416745,0.9788895357142857,3.7911452857142858,5.158490964285714
Rwanda,RWA,0.15848814285714288,0.6191547142857142,0.09905814285714286,3.6578997857142856,0.5667617142857143,4.069197928571429,2.330483
Saint Lucia,LCA,0.19876932142857143,0.9019484642857142,0.27221589285714287,4.598418035714286,0.8891273928571428,2.8146042142857146,1.870132
Saint Vincent and the Grenadines,VCT,0.19397539285714285,0.87592725,0.24830307142857144,4.515827428571429,0.7859917857142857,2.8019698571428573,2.1038655
Samoa,WSM,0.23214007142857143,0.4594007857142857,0.11693382142857144,3.2413775,0.8427331428571428,3.1018972857142857,1.0831706785714286
Sao Tome and Principe,STP,0.17522346428571428,0.6581071785714286,0.12280453571428572,2.9070707142857146,0.4659486071428572,3.1166737857142857,0.9767378571428571
Saudi Arabia,SAU,0.20221842857142858,0.8096493928571429,0.26238975,4.7102111071428565,1.4679526428571428,3.467797214285714,0.6579683214285714
Senegal,SEN,0.17138178571428572,0.6452330357142857,0.11876917857142857,2.8917430357142857,0.4657735,3.3072046785714284,0.9065440357142858
Serbia,SRB,0.19673517857142858,0.6948043214285714,0.16622896428571426,3.396136642857143,0.44954932142857146,2.676667821428571,1.96016075
Seychelles,SYC,0.24018785714285715,0.5639462857142857,0.17901542857142855,3.3165021785714286,0.7661712857142857,2.9358759285714284,0.8487246071428572
Sierra Leone,SLE,0.16398228571428572,0.623131,0.10416092857142857,2.883439,0.4721046428571429,3.534810392857143,0.9172246785714285
Singapore,SGP,0.2701125714285714,0.7275500714285714,0.46303524999999995,3.6739173214285716,0.8916926785714285,3.678884178571429,0.47982932142857143
Slovakia,SVK,0.2041105,0.7088013928571428,0.203181,3.43945275,0.6976475714285714,2.4809264285714288,2.345420428571429
Slovenia,SVN,0.20958257142857145,0.72369,0.22076717857142855,3.4606230000000004,0.86781675,3.1760165,2.1556749285714285
Solomon Islands,SLB,0.20905025,0.4265200357142857,0.0897704642857143,3.184626607142857,0.6856176071428571,3.1701307142857145,1.1221504285714285
Somalia,SOM,0.15340657142857145,0.6161453928571429,0.07828717857142857,3.524062392857143,0.4871816428571428,3.7729287142857144,1.538565
South Africa,ZAF,0.17886739285714287,0.6312906785714285,0.20239035714285714,4.012357,1.1354233928571429,3.7229540714285716,1.6420152857142856
